,ГОСТ,Размер,Наименование,Компания,Город,Тип_продукции,Размер_A,Типоразмер,Марка,Примечание_для_размера,Размер_B,Толщина,Диапазон_min,Диапазон_max,Размер_C,Минимальная_длина,Максимальная_длина,Упаковка,Примечание_для_цены,Тип_материала,Основная_марка,Свариваемость,Тип_стандарта,Номер_стандарта,Год_стандарта,Категория_цены,Звоните,Цена,Условие_цены
42,ГОСТ 5781-82,22,Арматура А1,Сталепромышленная компания,Благовещенск,Число,22.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,62500.0,>10т
43,ГОСТ 5781-82,25,Арматура А1,Сталепромышленная компания,Благовещенск,Число,25.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,62500.0,>10т
44,ГОСТ 5781-82,25,Арматура А1,Сталепромышленная компания,Благовещенск,Число,25.0,,,,,,,,,,,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,62500.0,>10т
45,ГОСТ 5781-82,28,Арматура А1,Сталепромышленная компания,Благовещенск,Число,28.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,62500.0,>10т
46,ГОСТ 5781-82,32,Арматура А1,Сталепромышленная компания,Благовещенск,Число,32.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,62500.0,>10т
47,ГОСТ 5781-82,36,Арматура А1,Сталепромышленная компания,Курган,Число,36.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,True,,
48,ГОСТ 5781-82,32,Арматура А1,Сталепромышленная компания,Курган,Число,32.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,True,,
49,ГОСТ 34028-2016,28,Арматура А1,Сталепромышленная компания,Курган,Число,28.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,True,,
50,ГОСТ 5781-82,28,Арматура А1,Сталепромышленная компания,Курган,Число,28.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,True,,
51,ГОСТ 34028-2016,25,Арматура А1,Сталепромышленная компания,Курган,Число,25.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,True,,
52,ГОСТ 5781-82,25,Арматура А1,Сталепромышленная компания,Курган,Число,25.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,True,,
53,ГОСТ 5781-82,12,Арматура А1,Сталепромышленная компания,Благовещенск,Число,12.0,,,,,,,,,,,бухты,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,63800.0,>10т
54,ГОСТ 34028-2016,6,Арматура А1,Сталепромышленная компания,Волгоград,Число,6.0,,,,,,,,,,,бухты,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,52300.0,>10т
55,ГОСТ 5781-82,12,Арматура А1,Сталепромышленная компания,Благовещенск,Число,12.0,,,,,,,,,6.0,6.0,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,65800.0,>10т
56,ГОСТ 5781-82,10,Арматура А1,Сталепромышленная компания,Благовещенск,Число,10.0,,,,,,,,,,,бухты,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,65200.0,>10т
57,ГОСТ 34028-2016,10,Арматура А1,Сталепромышленная компания,Белгород,Число,10.0,,,,,,,,,6.0,6.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,51000.0,>10т
58,ГОСТ 34028-2016,10,Арматура А1,Сталепромышленная компания,Белгород,Число,10.0,,,,,,,,,,,бухты,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,50000.0,>10т
59,ГОСТ 34028-2016,12,Арматура А1,Сталепромышленная компания,Белгород,Число,12.0,,,,,,,,,6.0,6.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,52500.0,>10т
60,ГОСТ 34028-2016,12,Арматура А1,Сталепромышленная компания,Белгород,Число,12.0,,,,,,,,,,,бухты,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,52500.0,>10т
61,ГОСТ 34028-2016,14,Арматура А1,Сталепромышленная компания,Белгород,Число,14.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,53000.0,>10т
62,ГОСТ 34028-2016,16,Арматура А1,Сталепромышленная компания,Белгород,Число,16.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,53000.0,>10т
63,ГОСТ 34028-2016,20,Арматура А1,Сталепромышленная компания,Белгород,Число,20.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,53000.0,>10т
64,ГОСТ 34028-2016,22,Арматура А1,Сталепромышленная компания,Белгород,Число,22.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,53000.0,>10т
65,ГОСТ 34028-2016,25,Арматура А1,Сталепромышленная компания,Белгород,Число,25.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,53000.0,>10т
66,ГОСТ 5781-82,6,Арматура А1,Сталепромышленная компания,Благовещенск,Число,6.0,,,,,,,,,6.0,6.0,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,67500.0,>10т
67,ГОСТ 5781-82,6,Арматура А1,Сталепромышленная компания,Благовещенск,Число,6.0,,,,,,,,,,,бухты,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,65500.0,>10т
68,ГОСТ 5781-82,8,Арматура А1,Сталепромышленная компания,Благовещенск,Число,8.0,,,,,,,,,6.0,6.0,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,65800.0,>10т
69,ГОСТ 5781-82,8,Арматура А1,Сталепромышленная компания,Благовещенск,Число,8.0,,,,,,,,,,,бухты,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,63800.0,>10т
70,ГОСТ 5781-82,10,Арматура А1,Сталепромышленная компания,Благовещенск,Число,10.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,67200.0,>10т
71,ГОСТ 5781-82,10,Арматура А1,Сталепромышленная компания,Благовещенск,Число,10.0,,,,,,,,,6.0,6.0,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,67200.0,>10т
72,ГОСТ 5781-82,12,Арматура А1,Сталепромышленная компания,Благовещенск,Число,12.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,65800.0,>10т
73,ГОСТ 34028-2016,22,Арматура А1,Сталепромышленная компания,Курган,Число,22.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,True,,
74,ГОСТ 34028-2016,6.5,Арматура А1,Сталепромышленная компания,Волгоград,Число,6.5,,,,,,,,,6.0,6.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,51500.0,>10т
75,ГОСТ 34028-2016,8,Арматура А1,Сталепромышленная компания,Волгоград,Число,8.0,,,,,,,,,12.0,12.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,50800.0,>10т
76,,18,Арматура А1,Омега Металл,Москва,Число,18.0,,,,,,,,,12.0,12.0,,,Сталь,ст3,0,не указан,,0,р./т,False,45300.0,
77,,20,Арматура А1,Омега Металл,Москва,Число,20.0,,,,,,,,,11.7,11.7,,,Сталь,ст3,0,не указан,,0,р./т,False,45500.0,
78,,22,Арматура А1,Омега Металл,Москва,Число,22.0,,,,,,,,,11.7,11.7,,,Сталь,ст3,0,не указан,,0,р./т,False,45500.0,
79,,22,Арматура А1,Омега Металл,Москва,Число,22.0,,,,,,,,,12.0,12.0,,,Сталь,ст3,0,не указан,,0,р./т,False,45500.0,
80,,22,Арматура А1,Омега Металл,Москва,Число,22.0,,,,,,,,,6.0,11.7,,,Сталь,ст3,0,не указан,,0,р./т,False,41300.0,
81,,25,Арматура А1,Омега Металл,Москва,Число,25.0,,,,,,,,,11.7,11.7,,,Сталь,ст3,0,не указан,,0,р./т,False,45500.0,
