,ГОСТ,"Цена, р./пог.м","Цена, р./кг",Размер,"Цена, р./шт.","Цена, р./т",Доп. размер,Наименование,Сталь,"Цена, р./м2",Компания,Город
15876, ГОСТ 8509-93 ,,, 63х63х6,,68 240 >10т,6,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15877, ГОСТ 8509-93 ,,, 70х70х5,,63 140 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15878, ГОСТ 8509-93 ,,, 50х50х5,,67 730 >10т,6,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15879, ГОСТ 8509-93 ,,, 50х50х5,,66 710 >10т,12,Уголок  ,С355,,Сталепромышленная компания,Екатеринбург
15880, ГОСТ 8509-93 ,,, 50х50х4,,68 240 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15881, ГОСТ 8509-93 ,,, 50х50х6,,61 100 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15882, ГОСТ 8509-93 ,,, 40х40х4,,58 550 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15883, ГОСТ 8509-93 ,,, 40х40х5,,60 080 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15884, ГОСТ 8509-93 ,,, 40х40х5,,61 100 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15885, ГОСТ 8509-93 ,,, 40х40х4,,67 730 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15886, ГОСТ 8509-93 ,,, 40х40х5,,69 770 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15887, ГОСТ 8509-93 ,,, 45х45х4,,58 550 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15888, ГОСТ 8509-93 ,,, 45х45х4,,57 530 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15889, ГОСТ 8509-93 ,,, 70х70х5,,63 140 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15890, ГОСТ 8509-93 ,,, 45х45х5,,59 060 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15891, ГОСТ 8509-93 ,,, 45х45х4,,66 710 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15892, ГОСТ 8509-93 ,,, 45х45х4,,67 730 >10т,6,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15893, ГОСТ 8509-93 ,,, 45х45х5,,71 810 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15894, ГОСТ 8509-93 ,,, 50х50х4,,58 040 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15895, ГОСТ 8509-93 ,,, 50х50х4,,59 060 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15896, ГОСТ 8509-93 ,,, 50х50х5,,59 060 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15897, ГОСТ 8509-93 ,,, 50х50х5,,58 040 >10т,12,Уголок  ,С255,,Сталепромышленная компания,Екатеринбург
15898, ГОСТ 8509-93 ,,, 45х45х5,,60 080 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15899, ГОСТ 8509-93 ,,, 70х70х6,,62 630 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15900, ГОСТ 8509-93 ,,, 70х70х6,,62 630 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15901, ГОСТ 8509-93 ,,, 70х70х7,,63 140 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15902, ГОСТ 8509-93 ,,, 75х75х6,,69 770 >10т,6,Уголок  ,С345,,Сталепромышленная компания,Екатеринбург
15903, ГОСТ 8509-93 ,,, 75х75х8,,70 280 >10т,6,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15904, ГОСТ 8509-93 ,,, 75х75х8,,70 280 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15905, ГОСТ 8509-93 ,,, 80х80х6,,63 650 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15906, ГОСТ 8509-93 ,,, 80х80х6,,62 630 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15907, ГОСТ 8509-93 ,,, 80х80х7,,63 140 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15908, ГОСТ 8509-93 ,,, 80х80х8,,62 120 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15909, ГОСТ 8509-93 ,,, 75х75х6,,69 770 >10т,12,Уголок  ,С345,,Сталепромышленная компания,Екатеринбург
